Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
H2NCHO + M <=> HCO + NH2 + M,1.00E-09,1.00E-09,1.00E-09
H2NCHO + M <=> H + H2NCO + M,1.00E-09,1.00E-09,1.00E-09
H + H2NCHO <=> H2 + H2NCO,1.00E-09,1.00E-09,1.00E-09
H + H2NCHO <=> HCO + NH3,1.00E-09,1.00E-09,1.00E-09
H2NCHO + O <=> H2NCO + OH,1.00E-09,1.00E-09,1.00E-09
H2NCHO + OH <=> H2NCO + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + H2NCHO <=> CH4 + H2NCO,1.00E-09,1.00E-09,1.00E-09
H2NCHO + NH2 <=> H2NCO + NH3,1.00E-09,1.00E-09,1.00E-09
H2NCO (+M) <=> CO + NH2 (+M),1.00E-09,1.00E-09,1.00E-09
H + H2NCO <=> H2 + HNCO,1.00E-09,1.00E-09,1.00E-09
H2NCO + O <=> HNCO + OH,1.00E-09,1.00E-09,1.00E-09
H2NCO + OH <=> H2O + HNCO,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + H (+M) <=> CH3NHCH3 (+M),1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + H <=> CH3NHCH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + H <=> CH3NHCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + H <=> CH3NCH3 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + O <=> CH3NHCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + O <=> CH3NCH3 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + OH <=> CH3NHCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + OH <=> CH3NCH3 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH3 <=> CH3NHCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH3 <=> CH3NCH3 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + NH2 <=> CH3NHCH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH3 + NH2 <=> CH3NCH3 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 <=> CH2NH + CH3,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 <=> CH3NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + H <=> CH3NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + O <=> CH2O + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + O <=> CH3NCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + OH <=> CH2OH + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3NHCH2 + OH <=> CH3NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH2 <=> C2H5 + CH3NH,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NHCH2 <=> CH3NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 <=> CH3NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + H <=> CH3NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + O <=> CH3 + CH3NO,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + OH <=> CH3NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NCH3 + O2 <=> CH3NO + CH3O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH3 <=> CH3NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + H <=> CH3NCH2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + H <=> CH2NCH2 + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + H <=> CH3NCH + H2,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + O <=> CH2NCH2 + OH,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + O <=> CH3NCH + OH,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + OH <=> CH2NCH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + OH <=> CH3NCH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH2 <=> CH2NCH2 + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3NCH2 <=> CH3NCH + CH4,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + NH2 <=> CH2NCH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3NCH2 + NH2 <=> CH3NCH + NH3,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 <=> CH3NCH,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + H <=> CH3 + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + O <=> CH2O + H2CN,1.00E-09,1.00E-09,1.00E-09
CH2NCH2 + OH <=> CH2OH + H2CN,1.00E-09,1.00E-09,1.00E-09
CH3NCH <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH3NCH + H <=> CH2NCH2 + H,1.00E-09,1.00E-09,1.00E-09
CH3NCH + O => CH3 + H + NCO,1.00E-09,1.00E-09,1.00E-09
